codigo | descricao | tipo | classificacao | comprimento_mm | id_materia_prima | id_fornecedor | id_maquina | estoque_minimo | estoque_seguranca | consumo_mensal | massa_kg | estoque
001 | CORPO PRINCIPAL MBF-015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
002 | TAMPA DA CAMISA - 015 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
003 | REDUÇÃO 1/4xM8 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 75
003/1 | REDUÇÃO 1/4xM8 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
004 | CORPO DA VÁLVULA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
004/LC | CORPO DA VÁLVULA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
005 | TAMPA INTERMEDIARIA 015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
005/1 | BUCHA DA TAMPA INTERMEDIÁRIA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1000
005/2 | BUCHA DA TAMPA INTER. DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1000
005/32 | TAMPA INTERMEDIÁRIA DO 032 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
006 | ANÉL ELASTICO DE O38mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
006/32 | ANÉL ELASTICO DE O32mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
007 | TAMPA TRASEIRA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
008 | PISTÃO HIDRÁULICO 015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
008/32 | PISTÃO HIDRÁULICO 032 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 60
012 | VÁLVULA HIDROPNEUMÁTICA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
013 | PARAFUSO DE FIXAÇÃO DA CAMISA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
013/LC | PARAFUSO DE FIXAÇÃO DA CAMISA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
014 | BUJÃO DA TAMPA TRAZEIRA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
015 | PARAFUSO DA VALVULA C/SANGRADOR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
015/VF | PARAF. FIX. DA VÁLVULA DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
016 | TUBO DE PASSAGEM DE AR 015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
018 | ABRAÇADEIRA DE INOX | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
019 | PARAFUSO ALLEN M6x30 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
020 | PORCA M6x1 AUTO TRAVANTE | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
021 | ARRUELA DE VEDAÇÃO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 5000
021/1 | ARRUELA DE AL. 18,2x22x1,5 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1200
021/2 | ARRUELA DE AL. 16,2x22x1,5 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
021/3 | ARRUELA DE ALUMINIO M22 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 500
022 | GUARDA PÓ 025 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 850
024 | TUBO DE PASSAGEM DE AR 025 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
024/40 | TUBO PASSAGEM DE AR 040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
024/AL | TUBO PASSAGEM DE AR AL/TR-100 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
024/OF | TUBO PASSAGEM DE AR DO OF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
024/VF | TUBO PASSAGEM DE AR DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
024/LC | TUBO PASSAGEM DE AR DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
025 | PORCA M10x1 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 500
026 | ANÉL ELÁSTICO DE 014mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
027 | TELA DE LATÃO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
028 | PARAFUSO DA VALVULA C/ ROSCA 1/4 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 150
028/AG | PARAFUSO DA VALVULA C/ROSCA M14 x 1,50 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
029/1 | EMBOLO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
029/2 | EMBÔLO DE BORRACHA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1500
030 | GUARDA PÓ 015 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 450
031 | RETENTOR 038mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 450
032 | PRATO DO PISTÃO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
032/VF | PRATO DO PISTÃO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
032/1 | GUIA DE BORRACHA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
032/1N | GAXETA DE NYLON | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
033 | RETENTOR DE 016mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1800
034 | RETENTOR 7/16 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
034/VF | RETENTOR DA TAMPA DO VF | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
036 | ANÉL ELASTICO DE 028 mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
036/VF | ANEL ELASTICO DO VF24MM | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
037 | MOLA DE RETÔRNO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1400
039 | MOLA DO EMBÔLO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 800
040 | MOLA DA VÁLVULA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1000
040/VF | MOLA DA VÁLVULA DO VF | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 600
040MC | MOLA DO MC 040 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 600
041 | O-RING 2-021 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 700
041/32 | O-RING 1024 TAMPA INTER. 032 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
042 | O-RING 2-028 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1100
043 | O-RING 2-022 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 2100
044 | O-RING 2-015 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 2200
045 | O-RING 2-111 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 2750
046 | O-RING 2-112 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1200
047 | O-RING 2-115 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1100
048 | SANGRADOR | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 3250
048/1 | SANGRADOR DO TURBO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
051 | TAMPA DE PROTEÇÃO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
052 | HASTE DO PISTÃO 015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
054 | BISNAGA DE GRAXA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 500
055/40 | HASTE DO PISTÃO 040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 192
055/MC | HASTE DO PISTÃO MC-040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
055/VF | HASTE DE CROMO DURO DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
079 | CARTELA DO JG. DE REPARO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
079/1 | PLASTICO DAS CARTELAS | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
079/2 | CARTELA DO JG. DE REPARO SÓ LOGOTIPO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
80 | TANQUE PARA SANGRAR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 6
089 | RETENTOR DE 028mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
089/VF | RETENTOR DO PISTÃO DO VF | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 2000
091 | TAMPA INTERMEDIARIA 028mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
091/VF | TAMPA INTERMEDIÁRIA DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
092 | TAMPA DA CAMISA 025 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
092/40 | TAMPA DA CAMISA 040 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
093/40 | PISTÃO HIDRÁULICO 040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
093/VF | PISTÃO HIDRÁULICO DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
100 | CORPO BR-015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
1000 | POTE DE GRAXA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 7
101 | REGISTRO 1/4 NPTx3/8 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 8
102 | REGISTRO 2 SAIDA 3/8 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
103 | MANOMETRO 10KG | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 5
104 | BICO DE AR 1/8 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 35
105 | VÁLVULA DE SEGURANÇA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
110 | SUPORTE DO ARRANQUE | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 16
130 | CAPA DO EMPURRADOR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
130/1 | CAPA DO EMPURRADOR SAF-040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 30
131 | GABARITO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 2000
132 | ABRAÇADEIRA DE NYLON | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1400
133 | BUCHA DO PRATO DO PISTÃO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
134 | O'RING CÓD. MESTRA 10146 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1700
136 | ANEL DA TRAVA DO PISTÃO VF | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 700
138 | ANEL O'RING DA TAMPA INTERMEDIARIA DO VF-040 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 1900
138/1 | BORRACHA DE VEDAÇÃO DO LACRADO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 100
139 | CAMISA DO AL-100 / TR-100 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
140 | TAMPA DA CAMISA DO AL-100 / TR-100 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
141 | PRATO DO PISTÃO AL-100 / TR-100 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
143/1 | CONJUNTO GAXETA E GUIA o ring DO AL-100 /TR-100 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
144 | PARAFUSO ALLEN 1/4 X 86 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
150 | CORPO AL-100 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
250 | CORPO CJ--015 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
300 | CORPO MBF-040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
350 | CORPO BR-040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
355 | CORPO PRINCIPAL DO BR-040 C/ FURAÇÃO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
400 | CORPO DO VF | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
450 | CORPO DO MBF-032 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
500 | CORPO DO TR - 100 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
A-009/1 | TRAVA EXTERNA DO TERMINAL | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
009/19 | TERMINAL DE Ø 19 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 75
009/2 | TRAVA INTERNA DO TERMINAL ESFERICO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
011 | EMPURRADOR 1318 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 150
011/1 | EMPURRADOR 135mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
011/10vf | EMPURRADOR DO CILIND PIT BUL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 65
011/11VF | EMPURRADOR DO AGRALE P/ VF 040 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 30
011/12 | EMPURRADOR CAM. MEC. 1113/1313 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 25
011/13 | EMPURRADOR CAMBIO EATON 1620-1621 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 45
011/14 | EMPURRADOR DO SERVO PIT BULL + TERMINAL | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
011/15 | EMPURRADOR 400 MM AGRALE | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 17
011/16 | Empurrador 370 MM | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 19
011/17 | Empurrador 240 MM | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 30
011/18 | EMPURRADOR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
011/19 | Empurrador 165MM c/ bolota | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 110
011/1-VF | EMPURRADOR 135mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 140
011/2 | EMPURRADOR 155mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
011/2-VF | EMPURRADOR 155mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 60
011/3 | EMPURRADOR 185mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 30
011/3-VF | EMPURRADOR 185mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 90
011/4 | EMPURRADOR 300mm F14000 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
011/4-VF | EMPURRADOR 130mm F14000 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 90
011/5 | EMPURRADOR 300mm 8140 V.W. | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
011/5-VF | EMPURRADOR 126mm 8140 V.W. | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
011/6 | EMPURRADOR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 40
011/7 | EMPURRADOR 200mm M14x2 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 9
011/8 | EMPURRADOR 300mm M14x2 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 30
011/9 | EMPURRADOR CJ 1318 TURBINADO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 60
011/20 | PINO DO KIT 5D | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 20
011/21 | EMPURRADOR CONECTOR DO CABO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 30
011/22 | EMPURRADOR | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 40
017 | CONECTOR DE 1/4"x1/4" | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
017/1 | PORCA DO CONECTOR 1/4" | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
017/1AL | PORCA DO CONECTOR 1/4"ALUMÍNIO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
023 | PORCA M14x2 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
035 | COTOVELO INVERTIDO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
035/1 | COTOVELO C/PORCA 3/8BSPxM16x1.5 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 10
035/10 | COTOVELO M.12x1 M16 p/TUBO 10mm | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
035/11 | COTOVELO PLASTICO | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 40
035/12 | COTOVELO INVER. M12 X 1 M.X 12X 1F. | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 50
035/14 | COTOVELO NOVO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 20
035/15 | COTOVELO NOVO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 80
035/16 | COTOVELO NOVO | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 70
035/2 | COTOVELO MACHO M14x1.5 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 90
